Time,V(OUT1),V(NODE4),
0.00471,0.7657458495995987,0.8399999999999963,
0.00472,0.8047569128624376,0.879999999999999,
0.00473,0.8752683425668625,0.9199999999999982,
0.00474,0.9656064275350043,0.9600000000000009,
0.00475,1.054905057416657,1,
0.00476,1.121498169557292,1.0399999999999991,
0.00477,1.152135668438118,1.0799999999999983,
0.00478,1.1482150920779097,1.120000000000001,
0.00479,1.1262359291664648,1.1599999999999966,
0.0048,1.1119003518881354,1.1999999999999993,
0.00481,1.1298702609334361,1.2399999999999984,
0.00482,1.1931213954313185,1.2799999999999976,
0.00483,1.2962928108146246,1.3200000000000003,
0.00484,1.416137226817236,1.3599999999999959,
0.00485,1.5195358267019867,1.3999999999999986,
0.00486,1.5765079253578407,1.4399999999999977,
0.00487,1.573391859724359,1.4800000000000004,
0.00488,1.5208382617668506,1.5199999999999996,
0.00489,1.4527742487836104,1.5599999999999987,
0.0049,1.4156333706721367,1.5999999999999979,
0.00491,1.4508238115659753,1.6400000000000006,
0.00492,1.5762777644021275,1.6799999999999962,
0.00493,1.7738602791197953,1.7199999999999989,
0.00494,1.9879400540434402,1.759999999999998,
0.00495,2.1369200328330145,1.8000000000000007,
0.00496,2.1351318893745344,1.8399999999999999,
0.00497,1.9187297356221913,1.8799999999999955,
0.00498,1.4674315980921755,1.9199999999999982,
0.00499,0.8148607578108054,1.9599999999999973,
0.005,0.04362145739227475,-2,
0.00501,-0.7339752056883214,-1.9600000000000009,
0.00502,-1.4040261270464474,-1.9200000000000017,
0.00503,-1.8796249103786031,-1.8800000000000026,
0.00504,-2.121404378716494,-1.8399999999999999,
0.00505,-2.1441161763758694,-1.8000000000000007,
0.00506,-2.0078072707874974,-1.7600000000000016,
0.00507,-1.796993152371124,-1.7200000000000024,
0.00508,-1.5948209823812827,-1.6799999999999997,
0.00509,-1.4604079181941638,-1.6400000000000006,
0.0051,-1.4160189777828385,-1.5999999999999979,
0.00511,-1.447134034151463,-1.5599999999999987,
0.00512,-1.514053794494633,-1.5199999999999996,
0.00513,-1.5700332143938946,-1.4800000000000004,
